id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,original_language,genres,production_companies,cast,director,producers,keywords,overview,roi,profit,success,release_year,release_month,release_quarter,budget_category,num_genres,num_production_companies,star_power,budget_per_minute,popularity_per_vote,genre_Foreign,genre_Crime,genre_Western,genre_Fantasy,genre_Drama,genre_Science Fiction,genre_History,genre_War,genre_Family,genre_Thriller,genre_Animation,genre_Mystery,genre_Romance,genre_Music,genre_Adventure,genre_Action,genre_Comedy,genre_Documentary,genre_Horror,is_english,month_sin,month_cos
2268,The Golden Compass,2007-12-04,180000000,372234864,113.0,5.8,1303,42.990906,en,"['Adventure', 'Fantasy']","['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field']","['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig', 'Sam Elliott', 'Eva Green']",Chris Weitz,"['Bill Carraro', 'Deborah Forte']","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",1.0679714666666666,192234864,0,2007,12,4,Ultra High,2,3,7.1731917424865985,1592920.353982301,0.03296848619631902,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-2.4492935982947064e-16,1.0
20526,TRON: Legacy,2010-12-10,170000000,400062763,125.0,6.3,2841,73.79505,en,"['Adventure', 'Action', 'Science Fiction']","['Walt Disney Pictures', 'LivePlanet', 'Prana Studios']","['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde', 'Bruce Boxleitner', 'Yaya DaCosta']",Joseph Kosinski,"['Steven Lisberger', 'Jeffrey Silver']","['artificial intelligence', 'secret identity', 'computer program', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neon light', 'autocracy']","Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",1.3533103705882352,230062763,0,2010,12,4,Ultra High,3,3,7.952263308657046,1360000.0,0.02596588669950739,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-2.4492935982947064e-16,1.0
54138,Star Trek Into Darkness,2013-05-05,190000000,467365246,132.0,7.4,4418,78.291018,en,"['Action', 'Adventure', 'Science Fiction']","['Paramount Pictures', 'Skydance Productions', 'Bad Robot']","['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Karl Urban', 'Simon Pegg']",J.J. Abrams,"['J.J. Abrams', 'Alex Kurtzman']","['spacecraft', 'friendship', 'sequel', 'futuristic', 'space', 'alien', 'imax', 'space opera', 'terrorist bombing', '3d']","When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",1.4598170842105263,277365246,0,2013,5,2,Ultra High,3,3,8.39366870513074,1439393.9393939395,0.017716908350305496,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.49999999999999994,-0.8660254037844387
81005,Jack the Giant Slayer,2013-02-27,195000000,197687603,114.0,5.5,2598,43.349855,en,"['Action', 'Family', 'Fantasy']","['New Line Cinema', 'Original Film', 'Legendary Pictures']","['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor', 'Stanley Tucci', 'Ian McShane']",Bryan Singer,['David Dobkin'],"['based on fairy tale', 'giant']","The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",0.013782579487179487,2687603,0,2013,2,1,Ultra High,3,3,7.8628820346414905,1710526.3157894737,0.01667943632166218,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.8660254037844386,0.5000000000000001
64682,The Great Gatsby,2013-05-10,105000000,351040419,143.0,7.3,3769,61.196071,en,"['Drama', 'Romance']","['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.']","['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan', 'Joel Edgerton', 'Elizabeth Debicki']",Baz Luhrmann,"['Baz Luhrmann', 'Catherine Martin']","['based on novel', 'infidelity', 'obsession', 'hope', '3d']","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",2.3432420857142855,246040419,1,2013,5,2,Ultra High,2,3,8.234830280442056,734265.7342657342,0.01623237957559682,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.49999999999999994,-0.8660254037844387
9543,Prince of Persia: The Sands of Time,2010-05-19,150000000,335154643,116.0,6.2,2317,62.169881,en,"['Adventure', 'Fantasy', 'Action', 'Romance']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']","['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley', 'Alfred Molina', 'Steve Toussaint']",Mike Newell,['Jerry Bruckheimer'],"['persia', 'sandstorm', 'brother against brother', 'armageddon', 'regent', 'based on video game']","A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",1.2343642866666666,185154643,0,2010,5,2,Ultra High,4,2,7.748460023899697,1293103.448275862,0.026820483606557376,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.49999999999999994,-0.8660254037844387
68726,Pacific Rim,2013-07-11,180000000,407602906,131.0,6.7,4794,56.523205,en,"['Action', 'Science Fiction', 'Adventure']","['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)']","['Idris Elba', 'Charlie Hunnam', 'Charlie Day', 'Ron Perlman', 'Burn Gorman']",Guillermo del Toro,"['Guillermo del Toro', 'Jon Jashni']","['dystopia', 'giant robot', 'giant monster', 'apocalypse', 'imax', 'duringcreditsstinger', '3d']","When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",1.264460588888889,227602906,0,2013,7,3,Ultra High,3,3,8.475328987317539,1374045.8015267176,0.011787946819603753,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-0.4999999999999997,-0.8660254037844388
217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,185000000,786636033,122.0,5.7,2495,75.674458,en,"['Adventure', 'Action']","['Lucasfilm', 'Paramount Pictures']","['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf', 'Ray Winstone', 'Karen Allen']",Steven Spielberg,['Frank Marshall'],"['saving the world', 'riddle', 'whip', 'treasure', 'mexico city', 'leather jacket', 'machinegun', 'alien phenomenons', 'maya civilization', 'peru']","Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",3.2520866648648648,601636033,1,2008,5,2,Ultra High,2,2,7.822444729489319,1516393.4426229508,0.030318292467948718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.49999999999999994,-0.8660254037844387
105864,The Good Dinosaur,2015-11-14,175000000,331926147,93.0,6.6,1736,51.692953,en,"['Adventure', 'Animation', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios']","['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright', 'Frances McDormand', 'Maleah Nipay-Padilla']",Peter Sohn,"['John Lasseter', 'Denise Ream']","['tyrannosaurus rex', 'friends', 'alternate history', 'dinosaur', 'fear', 'storm', 'nature', 'human', 'journey']",An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,0.89672084,156926147,0,2015,11,4,Ultra High,3,2,7.459914766241105,1881720.430107527,0.0297599038572251,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.5000000000000004,0.8660254037844384
62177,Brave,2012-06-21,185000000,538983207,93.0,6.7,4641,125.114374,en,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']","['Walt Disney Pictures', 'Pixar Animation Studios']","['Kelly Macdonald', 'Julie Walters', 'Billy Connolly', 'Emma Thompson', 'Kevin McKidd']",Brenda Chapman,['Katherine Sarafian'],"['scotland', 'rebel', 'bravery', 'kingdom', 'archer', 'wish', 'bear', 'scot', 'rebellious daughter', 'turns into animal']","Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",1.9134227405405406,353983207,0,2012,6,2,Ultra High,6,2,8.442900586834382,1989247.311827957,0.02695268720379147,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1.2246467991473532e-16,-1.0
